order_id,order_date,status,category,listing_type,weight_class,unit_price,quantity,gross_amount,installments,refund_amount
MLB-030001,2026-07-03,paid,books,premium,standard,348.32,1,348.32,3,0.00
MLB-030002,2026-07-16,refunded,books,premium,standard,58.79,1,58.79,1,58.79
MLB-030003,2026-07-10,delivered,electronics,classic,standard,77.17,2,154.34,1,0.00
MLB-030004,2026-07-13,paid,books,classic,standard,295.43,1,295.43,1,0.00
MLB-030005,2026-07-03,delivered,home,premium,heavy,1003.04,2,2006.08,3,0.00
MLB-030006,2026-07-09,paid,books,classic,standard,53.93,3,161.79,1,0.00
MLB-030007,2026-07-23,delivered,fashion,premium,standard,102.28,1,102.28,1,0.00
MLB-030008,2026-07-12,delivered,fashion,classic,standard,39.55,1,39.55,1,0.00
MLB-030009,2026-07-11,paid,books,premium,standard,525.41,1,525.41,6,0.00
MLB-030010,2026-07-23,paid,electronics,classic,standard,25.97,3,77.91,1,0.00
MLB-030011,2026-07-28,delivered,home,premium,standard,48.40,2,96.80,10,0.00
MLB-030012,2026-07-22,paid,books,classic,standard,107.83,3,323.49,3,0.00
MLB-030013,2026-07-26,cancelled,electronics,classic,standard,311.77,1,311.77,1,0.00
MLB-030014,2026-07-14,delivered,fashion,classic,standard,453.64,2,907.28,1,0.00
MLB-030015,2026-07-18,delivered,toys,classic,standard,1296.63,1,1296.63,1,0.00
MLB-030016,2026-07-13,delivered,home,premium,heavy,1266.32,1,1266.32,10,0.00
MLB-030017,2026-07-23,refunded,home,classic,heavy,429.76,1,429.76,3,429.76
MLB-030018,2026-07-13,delivered,toys,premium,standard,1704.77,3,5114.31,10,0.00
MLB-030019,2026-07-17,partially_refunded,toys,premium,standard,370.99,1,370.99,10,74.20
MLB-030020,2026-07-11,delivered,fashion,premium,standard,1817.25,1,1817.25,6,0.00
MLB-030021,2026-07-24,delivered,electronics,premium,standard,286.47,1,286.47,12,0.00
MLB-030022,2026-07-15,paid,electronics,premium,standard,64.74,1,64.74,10,0.00
MLB-030023,2026-07-23,paid,fashion,premium,standard,43.46,3,130.38,6,0.00
MLB-030024,2026-07-17,paid,books,classic,standard,394.53,1,394.53,1,0.00
MLB-030025,2026-07-21,paid,home,premium,standard,300.31,2,600.62,10,0.00
MLB-030026,2026-07-06,delivered,toys,classic,standard,76.61,3,229.83,1,0.00
MLB-030027,2026-07-05,delivered,home,premium,heavy,489.30,1,489.30,1,0.00
MLB-030028,2026-07-10,delivered,home,classic,standard,78.53,1,78.53,1,0.00
MLB-030029,2026-07-14,refunded,books,premium,standard,239.36,1,239.36,10,239.36
MLB-030030,2026-07-20,chargeback,books,classic,standard,379.74,1,379.74,1,0.00
MLB-030031,2026-07-28,delivered,fashion,classic,standard,2185.90,1,2185.90,3,0.00
MLB-030032,2026-07-27,delivered,books,premium,standard,48.44,3,145.32,1,0.00
MLB-030033,2026-07-22,paid,home,premium,heavy,1631.35,1,1631.35,1,0.00
MLB-030034,2026-07-11,delivered,home,classic,heavy,647.46,3,1942.38,3,0.00
MLB-030035,2026-07-18,delivered,home,classic,standard,119.79,3,359.37,3,0.00
MLB-030036,2026-07-06,partially_refunded,books,premium,standard,1375.01,1,1375.01,6,825.01
MLB-030037,2026-07-13,paid,home,premium,heavy,1593.91,1,1593.91,1,0.00
MLB-030038,2026-07-04,cancelled,home,premium,standard,207.65,1,207.65,1,0.00
MLB-030039,2026-07-27,delivered,toys,classic,standard,52.69,1,52.69,3,0.00
MLB-030040,2026-07-11,delivered,electronics,premium,standard,58.29,2,116.58,3,0.00
MLB-030041,2026-07-10,delivered,fashion,premium,standard,1795.03,1,1795.03,12,0.00
MLB-030042,2026-07-12,delivered,toys,classic,standard,30.31,3,90.93,1,0.00
MLB-030043,2026-07-20,delivered,electronics,premium,standard,305.93,1,305.93,1,0.00
MLB-030044,2026-07-05,delivered,books,premium,standard,419.44,2,838.88,3,0.00
MLB-030045,2026-07-20,delivered,toys,premium,standard,375.55,3,1126.65,6,0.00
MLB-030046,2026-07-26,paid,electronics,classic,standard,61.81,1,61.81,1,0.00
MLB-030047,2026-07-15,paid,toys,premium,standard,48.42,1,48.42,1,0.00
MLB-030048,2026-07-02,delivered,fashion,classic,standard,42.15,1,42.15,1,0.00
MLB-030049,2026-07-24,delivered,electronics,classic,heavy,893.99,1,893.99,3,0.00
MLB-030050,2026-07-04,delivered,home,premium,heavy,1319.69,1,1319.69,10,0.00
