settlement_id,order_id,settlement_date,type,gross_amount,marketplace_fee,shipping_fee,net_amount
ST-0600035,MLB-060030,2026-07-04,payment,76.95,-14.71,0.00,62.24
ST-0600038,MLB-060034,2026-07-04,payment,1930.41,-308.87,-39.90,1581.64
ST-0600083,MLB-060070,2026-07-04,payment,131.36,-29.41,-39.90,62.05
ST-0600100,MLB-060084,2026-07-05,payment,2461.66,-443.10,-21.90,1996.66
ST-0600106,MLB-060088,2026-07-05,payment,1608.64,-160.86,-21.90,1425.88
ST-0600135,MLB-060112,2026-07-05,payment,708.52,-120.45,-21.90,566.17
ST-0600138,MLB-060115,2026-07-05,payment,395.88,-67.30,-21.90,306.68
ST-0600005,MLB-060004,2026-07-06,payment,85.24,-14.21,-21.90,49.13
ST-0600015,MLB-060012,2026-07-06,payment,211.38,-56.80,-21.90,132.68
ST-0600065,MLB-060057,2026-07-06,payment,954.83,-143.22,-21.90,789.71
ST-0600053,MLB-060047,2026-07-07,payment,1642.82,-246.42,-21.90,1374.50
ST-0600114,MLB-060094,2026-07-07,payment,308.70,-37.04,-39.90,231.76
ST-0600009,MLB-060007,2026-07-08,payment,1784.63,-178.46,-21.90,1584.27
ST-0600014,MLB-060011,2026-07-08,payment,1392.68,-236.76,-39.90,1116.02
ST-0600016,MLB-060013,2026-07-08,payment,4217.08,-421.71,-21.90,3773.47
ST-0600086,MLB-060073,2026-07-08,payment,1652.75,-198.33,-39.90,1414.52
ST-0600090,MLB-060076,2026-07-08,payment,466.50,-60.65,-21.90,383.95
ST-0600092,MLB-060078,2026-07-08,payment,1456.45,-262.16,-21.90,1172.39
ST-0600120,MLB-060099,2026-07-08,payment,2042.61,-326.82,-39.90,1675.89
ST-0600007,MLB-060005,2026-07-09,payment,690.90,-124.36,-21.90,544.64
ST-0600042,MLB-060038,2026-07-09,payment,108.54,-38.05,-21.90,48.59
ST-0600049,MLB-060043,2026-07-09,payment,327.24,-36.00,-21.90,269.34
ST-0600063,MLB-060055,2026-07-09,payment,891.80,-98.10,-39.90,753.80
ST-0600097,MLB-060082,2026-07-09,payment,1233.36,-197.34,-39.90,996.12
ST-0600110,MLB-060090,2026-07-09,payment,1604.75,-320.95,-21.90,1261.90
ST-0600010,MLB-060009,2026-07-10,payment,13.84,-9.71,0.00,4.13
ST-0600101,MLB-060085,2026-07-10,payment,1164.30,-139.72,-21.90,1002.68
ST-0600119,MLB-060098,2026-07-10,payment,1675.27,-201.03,-39.90,1434.34
